                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9708,                 3.3277,                 1.1784,                0.19156,                0.16409,                0.13079,                0.06953,                 1.8089,                 2.1328,                 1.1285,             0.00023741,             0.00023741,             0.00023741
                      2,                 1.7926,                 2.1181,                 1.1237,                0.23533,                0.22814,                0.17176,                0.09402,                 1.7233,                 1.9469,                 1.0955,             0.00045188,             0.00045188,             0.00045188
                      3,                 1.7617,                  1.974,                 1.1156,                  0.297,                 0.2365,                0.20596,                0.11274,                 1.7031,                 1.8325,                 1.1011,             0.00064278,             0.00064278,             0.00064278
                      4,                 1.7248,                 1.8898,                 1.1064,                0.29839,                0.24143,                0.21962,                0.12279,                 1.6553,                 1.7398,                 1.0794,             0.00060797,             0.00060797,             0.00060797
                      5,                 1.6977,                 1.8144,                  1.099,                0.33412,                  0.251,                0.23804,                0.13067,                 1.6253,                 1.6766,                 1.0733,             0.00060797,             0.00060797,             0.00060797
                      6,                  1.685,                 1.7685,                 1.0921,                0.31187,                0.25694,                0.22845,                 0.1273,                 1.6528,                 1.6707,                  1.073,             0.00057263,             0.00057263,             0.00057263
                      7,                 1.6565,                 1.7167,                 1.0871,                0.33134,                0.27375,                0.23781,                0.13085,                 1.6213,                 1.7216,                 1.0782,             0.00053728,             0.00053728,             0.00053728
                      8,                 1.6455,                 1.6918,                 1.0826,                0.34614,                0.26754,                0.25147,                0.14248,                 1.5803,                 1.6502,                 1.0609,             0.00050194,             0.00050194,             0.00050194
                      9,                 1.6272,                 1.6595,                 1.0783,                0.34332,                0.28011,                0.25788,                0.14293,                 1.5712,                 1.5976,                  1.063,              0.0004666,              0.0004666,              0.0004666
                     10,                 1.6131,                 1.6301,                  1.075,                0.33818,                0.28201,                0.25758,                 0.1432,                 1.5651,                 1.6083,                 1.0627,             0.00043126,             0.00043126,             0.00043126
                     11,                 1.5859,                 1.6186,                 1.0751,                0.36414,                0.26795,                0.26002,                0.14562,                 1.5781,                  1.584,                 1.0648,             0.00039591,             0.00039591,             0.00039591
                     12,                 1.5683,                 1.5693,                 1.0734,                0.37296,                0.27417,                0.26324,                0.14756,                  1.571,                 1.5877,                 1.0563,             0.00036057,             0.00036057,             0.00036057
                     13,                 1.5568,                 1.5513,                 1.0675,                0.36422,                 0.2791,                0.26596,                0.14991,                  1.562,                  1.565,                  1.059,             0.00032523,             0.00032523,             0.00032523
                     14,                 1.5463,                 1.5247,                  1.067,                0.36982,                0.28336,                0.27176,                0.15336,                 1.5392,                 1.5471,                 1.0551,             0.00028988,             0.00028988,             0.00028988
                     15,                 1.5326,                 1.5006,                 1.0637,                0.38247,                0.28505,                0.27557,                0.15646,                 1.5433,                 1.5304,                 1.0505,             0.00025454,             0.00025454,             0.00025454
                     16,                 1.5222,                 1.4818,                 1.0603,                0.39032,                0.29271,                 0.2817,                 0.1605,                 1.5344,                 1.5123,                  1.048,              0.0002192,              0.0002192,              0.0002192
                     17,                 1.5145,                 1.4621,                 1.0553,                0.38673,                0.29421,                0.28461,                0.16097,                  1.531,                 1.4972,                 1.0509,             0.00018385,             0.00018385,             0.00018385
                     18,                 1.5019,                 1.4433,                  1.055,                0.39589,                 0.2954,                0.28867,                  0.163,                 1.5217,                 1.4904,                 1.0457,             0.00014851,             0.00014851,             0.00014851
                     19,                 1.4982,                 1.4301,                 1.0517,                0.40057,                0.29375,                0.28987,                0.16567,                 1.5106,                 1.4807,                 1.0456,             0.00011317,             0.00011317,             0.00011317
                     20,                 1.4902,                 1.4182,                 1.0506,                0.40321,                0.29294,                0.28927,                0.16476,                 1.5072,                 1.4774,                  1.044,             7.7826e-05,             7.7826e-05,             7.7826e-05
